county,year_month,organism,n_tested,n_positive,pct_positive
Salt Lake,2024-05,Group A Strep,259,34,13.1
Salt Lake,2024-06,Group A Strep,178,22,12.4
Salt Lake,2024-07,Group A Strep,164,22,13.4
Salt Lake,2024-08,Group A Strep,208,26,12.5
Salt Lake,2024-09,Group A Strep,293,43,14.7
Salt Lake,2024-10,Group A Strep,382,87,22.8
Salt Lake,2024-11,Group A Strep,391,109,27.9
Salt Lake,2024-12,Group A Strep,350,105,30.0
Salt Lake,2025-01,Group A Strep,351,129,36.8
Salt Lake,2025-02,Group A Strep,424,133,31.4
Salt Lake,2025-03,Group A Strep,336,78,23.2
Salt Lake,2025-04,Group A Strep,356,59,16.6
Salt Lake,2025-05,Group A Strep,220,35,15.9
Salt Lake,2025-06,Group A Strep,175,18,10.3
Salt Lake,2025-07,Group A Strep,189,15,7.9
Salt Lake,2025-08,Group A Strep,179,24,13.4
Salt Lake,2025-09,Group A Strep,281,47,16.7
Salt Lake,2025-10,Group A Strep,404,78,19.3
Salt Lake,2025-11,Group A Strep,345,108,31.3
Salt Lake,2025-12,Group A Strep,352,104,29.5
Salt Lake,2026-01,Group A Strep,409,119,29.1
Salt Lake,2026-02,Group A Strep,333,105,31.5
Salt Lake,2026-03,Group A Strep,386,99,25.6
Salt Lake,2026-04,Group A Strep,319,69,21.6
Utah,2024-05,Group A Strep,160,19,11.9
Utah,2024-06,Group A Strep,100,12,12.0
Utah,2024-07,Group A Strep,104,9,8.7
Utah,2024-08,Group A Strep,125,19,15.2
Utah,2024-09,Group A Strep,165,27,16.4
Utah,2024-10,Group A Strep,260,56,21.5
Utah,2024-11,Group A Strep,243,81,33.3
Utah,2024-12,Group A Strep,225,74,32.9
Utah,2025-01,Group A Strep,227,67,29.5
Utah,2025-02,Group A Strep,219,61,27.9
Utah,2025-03,Group A Strep,197,47,23.9
Utah,2025-04,Group A Strep,230,58,25.2
Utah,2025-05,Group A Strep,169,24,14.2
Utah,2025-06,Group A Strep,103,12,11.7
Utah,2025-07,Group A Strep,98,13,13.3
Utah,2025-08,Group A Strep,136,15,11.0
Utah,2025-09,Group A Strep,178,38,21.3
Utah,2025-10,Group A Strep,188,27,14.4
Utah,2025-11,Group A Strep,247,77,31.2
Utah,2025-12,Group A Strep,238,84,35.3
Utah,2026-01,Group A Strep,254,76,29.9
Utah,2026-02,Group A Strep,225,67,29.8
Utah,2026-03,Group A Strep,223,46,20.6
Utah,2026-04,Group A Strep,206,46,22.3
Washington,2024-05,Group A Strep,50,9,18.0
Washington,2024-06,Group A Strep,21,1,4.8
Washington,2024-07,Group A Strep,34,2,5.9
Washington,2024-08,Group A Strep,42,5,11.9
Washington,2024-09,Group A Strep,53,12,22.6
Washington,2024-10,Group A Strep,71,15,21.1
Washington,2024-11,Group A Strep,60,20,33.3
Washington,2024-12,Group A Strep,46,14,30.4
Washington,2025-01,Group A Strep,59,14,23.7
Washington,2025-02,Group A Strep,50,12,24.0
Washington,2025-03,Group A Strep,49,15,30.6
Washington,2025-04,Group A Strep,72,11,15.3
Washington,2025-05,Group A Strep,44,3,6.8
Washington,2025-06,Group A Strep,44,5,11.4
Washington,2025-07,Group A Strep,31,4,12.9
Washington,2025-08,Group A Strep,22,6,27.3
Washington,2025-09,Group A Strep,46,6,13.0
Washington,2025-10,Group A Strep,67,14,20.9
Washington,2025-11,Group A Strep,56,16,28.6
Washington,2025-12,Group A Strep,66,19,28.8
Washington,2026-01,Group A Strep,73,17,23.3
Washington,2026-02,Group A Strep,64,20,31.2
Washington,2026-03,Group A Strep,67,17,25.4
Washington,2026-04,Group A Strep,48,7,14.6
Salt Lake,2024-05,C. difficile,207,32,15.5
Salt Lake,2024-06,C. difficile,171,24,14.0
Salt Lake,2024-07,C. difficile,201,25,12.4
Salt Lake,2024-08,C. difficile,200,43,21.5
Salt Lake,2024-09,C. difficile,251,43,17.1
Salt Lake,2024-10,C. difficile,213,27,12.7
Salt Lake,2024-11,C. difficile,238,33,13.9
Salt Lake,2024-12,C. difficile,228,35,15.4
Salt Lake,2025-01,C. difficile,202,37,18.3
Salt Lake,2025-02,C. difficile,243,34,14.0
Salt Lake,2025-03,C. difficile,253,40,15.8
Salt Lake,2025-04,C. difficile,234,49,20.9
Salt Lake,2025-05,C. difficile,175,22,12.6
Salt Lake,2025-06,C. difficile,168,28,16.7
Salt Lake,2025-07,C. difficile,181,33,18.2
Salt Lake,2025-08,C. difficile,169,31,18.3
Salt Lake,2025-09,C. difficile,227,37,16.3
Salt Lake,2025-10,C. difficile,253,33,13.0
Salt Lake,2025-11,C. difficile,245,47,19.2
Salt Lake,2025-12,C. difficile,247,44,17.8
Salt Lake,2026-01,C. difficile,220,36,16.4
Salt Lake,2026-02,C. difficile,219,30,13.7
Salt Lake,2026-03,C. difficile,229,30,13.1
Salt Lake,2026-04,C. difficile,221,39,17.6
Utah,2024-05,C. difficile,105,13,12.4
Utah,2024-06,C. difficile,124,17,13.7
Utah,2024-07,C. difficile,91,13,14.3
Utah,2024-08,C. difficile,144,28,19.4
Utah,2024-09,C. difficile,143,21,14.7
Utah,2024-10,C. difficile,147,31,21.1
Utah,2024-11,C. difficile,159,31,19.5
Utah,2024-12,C. difficile,165,14,8.5
Utah,2025-01,C. difficile,128,22,17.2
Utah,2025-02,C. difficile,126,23,18.3
Utah,2025-03,C. difficile,99,14,14.1
Utah,2025-04,C. difficile,134,16,11.9
Utah,2025-05,C. difficile,110,19,17.3
Utah,2025-06,C. difficile,110,19,17.3
Utah,2025-07,C. difficile,136,22,16.2
Utah,2025-08,C. difficile,139,16,11.5
Utah,2025-09,C. difficile,125,20,16.0
Utah,2025-10,C. difficile,131,24,18.3
Utah,2025-11,C. difficile,143,16,11.2
Utah,2025-12,C. difficile,140,17,12.1
Utah,2026-01,C. difficile,154,30,19.5
Utah,2026-02,C. difficile,121,21,17.4
Utah,2026-03,C. difficile,142,17,12.0
Utah,2026-04,C. difficile,120,20,16.7
Washington,2024-05,C. difficile,26,5,19.2
Washington,2024-06,C. difficile,36,8,22.2
Washington,2024-07,C. difficile,34,3,8.8
Washington,2024-08,C. difficile,36,8,22.2
Washington,2024-09,C. difficile,36,7,19.4
Washington,2024-10,C. difficile,31,2,6.5
Washington,2024-11,C. difficile,26,9,34.6
Washington,2024-12,C. difficile,51,7,13.7
Washington,2025-01,C. difficile,37,5,13.5
Washington,2025-02,C. difficile,34,5,14.7
Washington,2025-03,C. difficile,27,4,14.8
Washington,2025-04,C. difficile,30,5,16.7
Washington,2025-05,C. difficile,27,3,11.1
Washington,2025-06,C. difficile,32,6,18.8
Washington,2025-07,C. difficile,33,4,12.1
Washington,2025-08,C. difficile,38,6,15.8
Washington,2025-09,C. difficile,48,7,14.6
Washington,2025-10,C. difficile,25,6,24.0
Washington,2025-11,C. difficile,37,4,10.8
Washington,2025-12,C. difficile,35,7,20.0
Washington,2026-01,C. difficile,41,10,24.4
Washington,2026-02,C. difficile,35,8,22.9
Washington,2026-03,C. difficile,31,4,12.9
Washington,2026-04,C. difficile,23,1,4.3
Salt Lake,2024-05,MRSA Screen,204,21,10.3
Salt Lake,2024-06,MRSA Screen,208,25,12.0
Salt Lake,2024-07,MRSA Screen,197,17,8.6
Salt Lake,2024-08,MRSA Screen,185,28,15.1
Salt Lake,2024-09,MRSA Screen,195,25,12.8
Salt Lake,2024-10,MRSA Screen,194,26,13.4
Salt Lake,2024-11,MRSA Screen,221,26,11.8
Salt Lake,2024-12,MRSA Screen,221,31,14.0
Salt Lake,2025-01,MRSA Screen,199,20,10.1
Salt Lake,2025-02,MRSA Screen,256,28,10.9
Salt Lake,2025-03,MRSA Screen,216,26,12.0
Salt Lake,2025-04,MRSA Screen,211,25,11.8
Salt Lake,2025-05,MRSA Screen,195,24,12.3
Salt Lake,2025-06,MRSA Screen,182,23,12.6
Salt Lake,2025-07,MRSA Screen,218,30,13.8
Salt Lake,2025-08,MRSA Screen,182,18,9.9
Salt Lake,2025-09,MRSA Screen,193,22,11.4
Salt Lake,2025-10,MRSA Screen,215,20,9.3
Salt Lake,2025-11,MRSA Screen,192,19,9.9
Salt Lake,2025-12,MRSA Screen,196,26,13.3
Salt Lake,2026-01,MRSA Screen,185,30,16.2
Salt Lake,2026-02,MRSA Screen,193,28,14.5
Salt Lake,2026-03,MRSA Screen,207,26,12.6
Salt Lake,2026-04,MRSA Screen,195,17,8.7
Utah,2024-05,MRSA Screen,138,15,10.9
Utah,2024-06,MRSA Screen,104,13,12.5
Utah,2024-07,MRSA Screen,134,17,12.7
Utah,2024-08,MRSA Screen,129,15,11.6
Utah,2024-09,MRSA Screen,116,14,12.1
Utah,2024-10,MRSA Screen,115,10,8.7
Utah,2024-11,MRSA Screen,124,22,17.7
Utah,2024-12,MRSA Screen,135,21,15.6
Utah,2025-01,MRSA Screen,110,14,12.7
Utah,2025-02,MRSA Screen,114,17,14.9
Utah,2025-03,MRSA Screen,105,13,12.4
Utah,2025-04,MRSA Screen,106,16,15.1
Utah,2025-05,MRSA Screen,124,19,15.3
Utah,2025-06,MRSA Screen,101,14,13.9
Utah,2025-07,MRSA Screen,127,16,12.6
Utah,2025-08,MRSA Screen,120,10,8.3
Utah,2025-09,MRSA Screen,132,10,7.6
Utah,2025-10,MRSA Screen,122,12,9.8
Utah,2025-11,MRSA Screen,114,10,8.8
Utah,2025-12,MRSA Screen,138,11,8.0
Utah,2026-01,MRSA Screen,116,18,15.5
Utah,2026-02,MRSA Screen,135,11,8.1
Utah,2026-03,MRSA Screen,103,15,14.6
Utah,2026-04,MRSA Screen,127,17,13.4
Washington,2024-05,MRSA Screen,45,3,6.7
Washington,2024-06,MRSA Screen,30,4,13.3
Washington,2024-07,MRSA Screen,36,5,13.9
Washington,2024-08,MRSA Screen,32,5,15.6
Washington,2024-09,MRSA Screen,39,4,10.3
Washington,2024-10,MRSA Screen,32,3,9.4
Washington,2024-11,MRSA Screen,29,1,3.4
Washington,2024-12,MRSA Screen,38,5,13.2
Washington,2025-01,MRSA Screen,39,8,20.5
Washington,2025-02,MRSA Screen,41,7,17.1
Washington,2025-03,MRSA Screen,31,4,12.9
Washington,2025-04,MRSA Screen,29,1,3.4
Washington,2025-05,MRSA Screen,28,5,17.9
Washington,2025-06,MRSA Screen,43,5,11.6
Washington,2025-07,MRSA Screen,36,3,8.3
Washington,2025-08,MRSA Screen,32,3,9.4
Washington,2025-09,MRSA Screen,33,2,6.1
Washington,2025-10,MRSA Screen,34,4,11.8
Washington,2025-11,MRSA Screen,30,3,10.0
Washington,2025-12,MRSA Screen,35,4,11.4
Washington,2026-01,MRSA Screen,24,4,16.7
Washington,2026-02,MRSA Screen,45,4,8.9
Washington,2026-03,MRSA Screen,38,6,15.8
Washington,2026-04,MRSA Screen,38,5,13.2
Salt Lake,2024-05,Escherichia coli,2020,626,31.0
Salt Lake,2024-06,Escherichia coli,1976,611,30.9
Salt Lake,2024-07,Escherichia coli,1938,619,31.9
Salt Lake,2024-08,Escherichia coli,1949,578,29.7
Salt Lake,2024-09,Escherichia coli,1966,572,29.1
