county,year_month,organism,drug,n_tested,n_susceptible,pct_susceptible
Salt Lake,2024-05,Enterococcus species,Ampicillin,132,100,75.8
Salt Lake,2024-05,Enterococcus species,Linezolid,132,122,92.4
Salt Lake,2024-05,Enterococcus species,Nitrofurantoin,132,99,75.0
Salt Lake,2024-05,Enterococcus species,Vancomycin,132,109,82.6
Salt Lake,2024-05,Escherichia coli,Amoxicillin-Clavulanate,649,405,62.4
Salt Lake,2024-05,Escherichia coli,Ampicillin,649,257,39.6
Salt Lake,2024-05,Escherichia coli,Ceftriaxone,649,563,86.7
Salt Lake,2024-05,Escherichia coli,Ciprofloxacin,649,461,71.0
Salt Lake,2024-05,Escherichia coli,Fosfomycin,649,580,89.4
Salt Lake,2024-05,Escherichia coli,Nitrofurantoin,649,580,89.4
Salt Lake,2024-05,Escherichia coli,TMP-SMX,649,437,67.3
Salt Lake,2024-05,Haemophilus influenzae,Amoxicillin,23,19,82.6
Salt Lake,2024-05,Haemophilus influenzae,Amoxicillin-Clavulanate,23,21,91.3
Salt Lake,2024-05,Haemophilus influenzae,Azithromycin,23,17,73.9
Salt Lake,2024-05,Haemophilus influenzae,Ceftriaxone,23,20,87.0
Salt Lake,2024-05,Haemophilus influenzae,Doxycycline,23,22,95.7
Salt Lake,2024-05,Klebsiella pneumoniae,Amoxicillin-Clavulanate,182,134,73.6
Salt Lake,2024-05,Klebsiella pneumoniae,Ceftriaxone,182,147,80.8
Salt Lake,2024-05,Klebsiella pneumoniae,Ciprofloxacin,182,149,81.9
Salt Lake,2024-05,Klebsiella pneumoniae,Ertapenem,182,160,87.9
Salt Lake,2024-05,Klebsiella pneumoniae,Nitrofurantoin,182,62,34.1
Salt Lake,2024-05,MRSA,Clindamycin,140,94,67.1
Salt Lake,2024-05,MRSA,Doxycycline,140,122,87.1
Salt Lake,2024-05,MRSA,Linezolid,140,135,96.4
Salt Lake,2024-05,MRSA,TMP-SMX,140,124,88.6
Salt Lake,2024-05,MRSA,Vancomycin,140,133,95.0
Salt Lake,2024-05,Pseudomonas aeruginosa,Cefepime,166,126,75.9
Salt Lake,2024-05,Pseudomonas aeruginosa,Ceftazidime,166,135,81.3
Salt Lake,2024-05,Pseudomonas aeruginosa,Ciprofloxacin,166,123,74.1
Salt Lake,2024-05,Pseudomonas aeruginosa,Meropenem,166,134,80.7
Salt Lake,2024-05,Pseudomonas aeruginosa,Piperacillin-Tazobactam,166,131,78.9
Salt Lake,2024-05,Staphylococcus aureus,Cephalexin,188,175,93.1
Salt Lake,2024-05,Staphylococcus aureus,Clindamycin,188,140,74.5
Salt Lake,2024-05,Staphylococcus aureus,Doxycycline,188,170,90.4
Salt Lake,2024-05,Staphylococcus aureus,Oxacillin,188,182,96.8
Salt Lake,2024-05,Staphylococcus aureus,TMP-SMX,188,181,96.3
Salt Lake,2024-05,Staphylococcus aureus,Vancomycin,188,174,92.6
Salt Lake,2024-05,Streptococcus pneumoniae,Amoxicillin,40,31,77.5
Salt Lake,2024-05,Streptococcus pneumoniae,Azithromycin,40,21,52.5
Salt Lake,2024-05,Streptococcus pneumoniae,Ceftriaxone,40,32,80.0
Salt Lake,2024-05,Streptococcus pneumoniae,Doxycycline,40,33,82.5
Salt Lake,2024-05,Streptococcus pneumoniae,Levofloxacin,40,37,92.5
Salt Lake,2024-05,Streptococcus pneumoniae,Penicillin,40,35,87.5
Salt Lake,2024-06,Enterococcus species,Ampicillin,140,92,65.7
Salt Lake,2024-06,Enterococcus species,Linezolid,140,132,94.3
Salt Lake,2024-06,Enterococcus species,Nitrofurantoin,140,103,73.6
Salt Lake,2024-06,Enterococcus species,Vancomycin,140,106,75.7
Salt Lake,2024-06,Escherichia coli,Amoxicillin-Clavulanate,633,400,63.2
Salt Lake,2024-06,Escherichia coli,Ampicillin,633,265,41.9
Salt Lake,2024-06,Escherichia coli,Ceftriaxone,633,539,85.2
Salt Lake,2024-06,Escherichia coli,Ciprofloxacin,633,439,69.4
Salt Lake,2024-06,Escherichia coli,Fosfomycin,633,585,92.4
Salt Lake,2024-06,Escherichia coli,Nitrofurantoin,633,560,88.5
Salt Lake,2024-06,Escherichia coli,TMP-SMX,633,430,67.9
Salt Lake,2024-06,Haemophilus influenzae,Amoxicillin,30,19,63.3
Salt Lake,2024-06,Haemophilus influenzae,Amoxicillin-Clavulanate,30,27,90.0
