patient_zip,county,organism,drug,n_tested,n_susceptible,pct_susceptible,window_start,window_end
84003,Utah,Enterococcus species,Ampicillin,8,6,75.0,2026-03-31,2026-04-30
84003,Utah,Enterococcus species,Linezolid,8,8,100.0,2026-03-31,2026-04-30
84003,Utah,Enterococcus species,Nitrofurantoin,8,7,87.5,2026-03-31,2026-04-30
84003,Utah,Enterococcus species,Vancomycin,8,6,75.0,2026-03-31,2026-04-30
84003,Utah,Escherichia coli,Amoxicillin-Clavulanate,35,25,71.4,2026-03-31,2026-04-30
84003,Utah,Escherichia coli,Ampicillin,35,12,34.3,2026-03-31,2026-04-30
84003,Utah,Escherichia coli,Ceftriaxone,35,35,100.0,2026-03-31,2026-04-30
84003,Utah,Escherichia coli,Ciprofloxacin,35,24,68.6,2026-03-31,2026-04-30
84003,Utah,Escherichia coli,Fosfomycin,35,32,91.4,2026-03-31,2026-04-30
84003,Utah,Escherichia coli,Nitrofurantoin,35,32,91.4,2026-03-31,2026-04-30
84003,Utah,Escherichia coli,TMP-SMX,35,24,68.6,2026-03-31,2026-04-30
84003,Utah,Haemophilus influenzae,Amoxicillin,1,1,100.0,2026-03-31,2026-04-30
84003,Utah,Haemophilus influenzae,Amoxicillin-Clavulanate,1,1,100.0,2026-03-31,2026-04-30
84003,Utah,Haemophilus influenzae,Azithromycin,1,1,100.0,2026-03-31,2026-04-30
84003,Utah,Haemophilus influenzae,Ceftriaxone,1,1,100.0,2026-03-31,2026-04-30
84003,Utah,Haemophilus influenzae,Doxycycline,1,0,0.0,2026-03-31,2026-04-30
84003,Utah,Klebsiella pneumoniae,Amoxicillin-Clavulanate,5,4,80.0,2026-03-31,2026-04-30
84003,Utah,Klebsiella pneumoniae,Ceftriaxone,5,4,80.0,2026-03-31,2026-04-30
84003,Utah,Klebsiella pneumoniae,Ciprofloxacin,5,3,60.0,2026-03-31,2026-04-30
84003,Utah,Klebsiella pneumoniae,Ertapenem,5,4,80.0,2026-03-31,2026-04-30
84003,Utah,Klebsiella pneumoniae,Nitrofurantoin,5,3,60.0,2026-03-31,2026-04-30
84003,Utah,MRSA,Clindamycin,9,5,55.6,2026-03-31,2026-04-30
84003,Utah,MRSA,Doxycycline,9,9,100.0,2026-03-31,2026-04-30
84003,Utah,MRSA,Linezolid,9,9,100.0,2026-03-31,2026-04-30
84003,Utah,MRSA,TMP-SMX,9,9,100.0,2026-03-31,2026-04-30
84003,Utah,MRSA,Vancomycin,9,9,100.0,2026-03-31,2026-04-30
84003,Utah,Pseudomonas aeruginosa,Cefepime,8,6,75.0,2026-03-31,2026-04-30
84003,Utah,Pseudomonas aeruginosa,Ceftazidime,8,8,100.0,2026-03-31,2026-04-30
84003,Utah,Pseudomonas aeruginosa,Ciprofloxacin,8,5,62.5,2026-03-31,2026-04-30
84003,Utah,Pseudomonas aeruginosa,Meropenem,8,6,75.0,2026-03-31,2026-04-30
84003,Utah,Pseudomonas aeruginosa,Piperacillin-Tazobactam,8,7,87.5,2026-03-31,2026-04-30
84003,Utah,Staphylococcus aureus,Cephalexin,15,14,93.3,2026-03-31,2026-04-30
84003,Utah,Staphylococcus aureus,Clindamycin,15,15,100.0,2026-03-31,2026-04-30
84003,Utah,Staphylococcus aureus,Doxycycline,15,13,86.7,2026-03-31,2026-04-30
84003,Utah,Staphylococcus aureus,Oxacillin,15,15,100.0,2026-03-31,2026-04-30
84003,Utah,Staphylococcus aureus,TMP-SMX,15,14,93.3,2026-03-31,2026-04-30
84003,Utah,Staphylococcus aureus,Vancomycin,15,15,100.0,2026-03-31,2026-04-30
84003,Utah,Streptococcus pneumoniae,Amoxicillin,2,2,100.0,2026-03-31,2026-04-30
84003,Utah,Streptococcus pneumoniae,Azithromycin,2,1,50.0,2026-03-31,2026-04-30
84003,Utah,Streptococcus pneumoniae,Ceftriaxone,2,2,100.0,2026-03-31,2026-04-30
84003,Utah,Streptococcus pneumoniae,Doxycycline,2,2,100.0,2026-03-31,2026-04-30
84003,Utah,Streptococcus pneumoniae,Levofloxacin,2,2,100.0,2026-03-31,2026-04-30
84003,Utah,Streptococcus pneumoniae,Penicillin,2,1,50.0,2026-03-31,2026-04-30
84004,Utah,Enterococcus species,Ampicillin,1,1,100.0,2026-03-31,2026-04-30
84004,Utah,Enterococcus species,Linezolid,1,1,100.0,2026-03-31,2026-04-30
84004,Utah,Enterococcus species,Nitrofurantoin,1,1,100.0,2026-03-31,2026-04-30
84004,Utah,Enterococcus species,Vancomycin,1,1,100.0,2026-03-31,2026-04-30
84004,Utah,Escherichia coli,Amoxicillin-Clavulanate,12,5,41.7,2026-03-31,2026-04-30
84004,Utah,Escherichia coli,Ampicillin,12,3,25.0,2026-03-31,2026-04-30
84004,Utah,Escherichia coli,Ceftriaxone,12,11,91.7,2026-03-31,2026-04-30
84004,Utah,Escherichia coli,Ciprofloxacin,12,7,58.3,2026-03-31,2026-04-30
84004,Utah,Escherichia coli,Fosfomycin,12,11,91.7,2026-03-31,2026-04-30
84004,Utah,Escherichia coli,Nitrofurantoin,12,12,100.0,2026-03-31,2026-04-30
84004,Utah,Escherichia coli,TMP-SMX,12,10,83.3,2026-03-31,2026-04-30
84004,Utah,Haemophilus influenzae,Amoxicillin,1,0,0.0,2026-03-31,2026-04-30
84004,Utah,Haemophilus influenzae,Amoxicillin-Clavulanate,1,1,100.0,2026-03-31,2026-04-30
84004,Utah,Haemophilus influenzae,Azithromycin,1,1,100.0,2026-03-31,2026-04-30
84004,Utah,Haemophilus influenzae,Ceftriaxone,1,1,100.0,2026-03-31,2026-04-30
84004,Utah,Haemophilus influenzae,Doxycycline,1,1,100.0,2026-03-31,2026-04-30
84004,Utah,Klebsiella pneumoniae,Amoxicillin-Clavulanate,4,3,75.0,2026-03-31,2026-04-30
84004,Utah,Klebsiella pneumoniae,Ceftriaxone,4,4,100.0,2026-03-31,2026-04-30
84004,Utah,Klebsiella pneumoniae,Ciprofloxacin,4,3,75.0,2026-03-31,2026-04-30
84004,Utah,Klebsiella pneumoniae,Ertapenem,4,4,100.0,2026-03-31,2026-04-30
84004,Utah,Klebsiella pneumoniae,Nitrofurantoin,4,0,0.0,2026-03-31,2026-04-30
84004,Utah,MRSA,Clindamycin,4,1,25.0,2026-03-31,2026-04-30
84004,Utah,MRSA,Doxycycline,4,4,100.0,2026-03-31,2026-04-30
84004,Utah,MRSA,Linezolid,4,4,100.0,2026-03-31,2026-04-30
84004,Utah,MRSA,TMP-SMX,4,3,75.0,2026-03-31,2026-04-30
84004,Utah,MRSA,Vancomycin,4,4,100.0,2026-03-31,2026-04-30
84004,Utah,Pseudomonas aeruginosa,Cefepime,2,2,100.0,2026-03-31,2026-04-30
84004,Utah,Pseudomonas aeruginosa,Ceftazidime,2,2,100.0,2026-03-31,2026-04-30
84004,Utah,Pseudomonas aeruginosa,Ciprofloxacin,2,0,0.0,2026-03-31,2026-04-30
84004,Utah,Pseudomonas aeruginosa,Meropenem,2,2,100.0,2026-03-31,2026-04-30
84004,Utah,Pseudomonas aeruginosa,Piperacillin-Tazobactam,2,2,100.0,2026-03-31,2026-04-30
84004,Utah,Staphylococcus aureus,Cephalexin,6,6,100.0,2026-03-31,2026-04-30
84004,Utah,Staphylococcus aureus,Clindamycin,6,3,50.0,2026-03-31,2026-04-30
84004,Utah,Staphylococcus aureus,Doxycycline,6,4,66.7,2026-03-31,2026-04-30
