zip,county,population
84101,Salt Lake,12000
84102,Salt Lake,18000
84103,Salt Lake,22000
84104,Salt Lake,28000
84105,Salt Lake,25000
84106,Salt Lake,32000
84107,Salt Lake,35000
84108,Salt Lake,28000
84109,Salt Lake,30000
84111,Salt Lake,14000
84115,Salt Lake,32000
84117,Salt Lake,28000
84118,Salt Lake,48000
84119,Salt Lake,42000
84120,Salt Lake,50000
84121,Salt Lake,38000
84123,Salt Lake,32000
84124,Salt Lake,26000
84128,Salt Lake,32000
84601,Utah,38000
84604,Utah,32000
84606,Utah,25000
84057,Utah,45000
84058,Utah,42000
84097,Utah,38000
84003,Utah,35000
84004,Utah,12000
84005,Utah,32000
84062,Utah,40000
84660,Utah,24000
84770,Washington,38000
84790,Washington,30000
84780,Washington,8000
84765,Washington,7000
84738,Washington,22000
84737,Washington,18000
84771,Washington,12000
84782,Washington,4000
